id;latitud_gps;longitud_gps;random
4632;39.475;-0.364;0.705853821
8243;39.47;-0.403;0.076195338
13385;39.472;-0.417;0.068120538
571;39.469;-0.376;0.26940394
13307;39.475;-0.42;0.209892714
12022;39.492;-0.38;0.487163539
9502;39.486;-0.362;0.503860992
6689;39.493;-0.404;0.057458517
2135;39.454;-0.38;0.879903778
7418;39.51;-0.364;0.80668601
5784;39.454;-0.353;0.643098692
7923;39.444;-0.392;0.903053232
10258;39.467;-0.355;0.080757083
2779;39.462;-0.387;0.730191977
119;39.473;-0.379;0.806059611
11033;39.469;-0.337;0.901908524
1907;39.463;-0.369;0.376632593
11807;39.46;-0.34;0.618283828
10283;39.475;-0.348;0.836551069
11682;39.461;-0.356;0.78640627
11630;39.463;-0.356;0.428405068
4929;39.487;-0.367;0.697603862
12411;39.449;-0.379;0.996517019
10093;39.473;-0.354;0.332923689
4985;39.471;-0.361;0.190050951
3815;39.475;-0.395;0.281538541
12403;39.501;-0.392;0.056002405
8525;39.464;-0.396;0.870603159
174;39.473;-0.384;0.450638328
2871;39.468;-0.382;0.647872998
4072;39.487;-0.374;0.041024637
12753;39.504;-0.424;0.929423346
8553;39.469;-0.4;0.612862619
4026;39.488;-0.377;0.916574268
813;39.472;-0.371;0.359559144
63;39.47;-0.38;0.118808423
4139;39.485;-0.386;0.876830622
2445;39.459;-0.367;0.914010919
1522;39.467;-0.368;0.64938032
10652;39.474;-0.346;0.502737257
12419;39.449;-0.38;0.759207039
6632;39.484;-0.399;0.24288769
12864;39.478;-0.421;0.231469708
492;39.472;-0.377;0.641872777
8488;39.469;-0.398;0.378729403
7457;39.449;-0.39;0.687969697
6029;39.463;-0.404;0.786738526
4499;39.478;-0.366;0.966212932
12;39.471;-0.38;0.307162874
3262;39.468;-0.384;0.89705269
3516;39.469;-0.391;0.338117287
8259;39.471;-0.393;0.483089094
3535;39.465;-0.389;0.628766743
12623;39.448;-0.373;0.208426531
2102;39.46;-0.366;0.305230096
10246;39.471;-0.351;0.131652601
10107;39.47;-0.354;0.805538992
10304;39.472;-0.349;0.12750924
12604;39.451;-0.38;0.217978845
2296;39.453;-0.381;0.44562755
10280;39.467;-0.353;0.048014854
735;39.471;-0.371;0.38964946
5356;39.465;-0.33;0.423462025
3195;39.465;-0.381;0.45582198
13175;39.474;-0.418;0.164591152
752;39.473;-0.368;0.429537951
8577;39.474;-0.398;0.291485995
709;39.473;-0.368;0.008458086
197;39.476;-0.377;0.076558567
10159;39.476;-0.349;0.232469011
9323;39.483;-0.349;0.469288084
11893;39.462;-0.327;0.331798365
10623;39.466;-0.336;0.013647198
2529;39.457;-0.362;0.688588678
3647;39.475;-0.388;0.15899332
10805;39.463;-0.344;0.745488006
724;39.474;-0.375;0.575169381
11356;39.464;-0.35;0.646769016
549;39.47;-0.373;0.424947387
13240;39.47;-0.415;0.619238827
13443;39.472;-0.416;0.093545833
11206;39.463;-0.353;0.671549226
437;39.47;-0.374;0.137415008
9257;39.483;-0.349;0.356009803
7436;39.517;-0.378;0.703842073
1070;39.47;-0.371;0.177495392
2942;39.469;-0.382;0.658898785
9656;39.488;-0.365;0.220292109
2289;39.457;-0.364;0.124193949
4834;39.476;-0.361;0.456336565
5231;39.463;-0.335;0.862875555
1435;39.467;-0.369;0.242266141
5400;39.484;-0.327;0.653949649
9584;39.488;-0.36;0.640637359
6;39.471;-0.379;0.301614335
7773;39.44;-0.39;0.076926483
10847;39.473;-0.335;0.309732603
1433;39.467;-0.369;0.650111325
2547;39.455;-0.379;0.409242287
2391;39.459;-0.367;0.97810275
10351;39.47;-0.354;0.158919436
11021;39.474;-0.336;0.270266595
4171;39.489;-0.37;0.75671275
9242;39.483;-0.349;0.761906767
7131;39.482;-0.402;0.327474366
10346;39.473;-0.351;0.66269317
11644;39.455;-0.345;0.91237661
817;39.475;-0.371;0.261553198
8441;39.474;-0.398;0.114138509
665;39.472;-0.373;0.702642223
4255;39.481;-0.373;0.536761328
11214;39.461;-0.343;0.477710418
8091;39.461;-0.394;0.674955724
8779;39.491;-0.37;0.868718535
11171;39.46;-0.352;0.6942902
1596;39.461;-0.368;0.386622944
11034;39.464;-0.337;0.714148364
10721;39.472;-0.345;0.190066843
7448;39.449;-0.39;0.912043353
10797;39.465;-0.34;0.812719543
5394;39.463;-0.334;0.14841943
11084;39.471;-0.338;0.188434742
7811;39.44;-0.39;0.428549795
5093;39.461;-0.333;0.175650065
12619;39.451;-0.373;0.702082463
13402;39.476;-0.416;0.654462193
74;39.47;-0.38;0.907345095
6060;39.462;-0.404;0.900007954
1648;39.463;-0.364;0.005477701
10878;39.467;-0.34;0.11677962
5451;39.471;-0.33;0.101110873
4132;39.485;-0.372;0.138322174
8292;39.471;-0.395;0.026209857
11642;39.462;-0.356;0.962496809
11389;39.463;-0.349;0.50312098
8066;39.468;-0.391;0.080147242
768;39.473;-0.373;0.886155659
10360;39.479;-0.353;0.477474515
2592;39.461;-0.377;0.422104409
3507;39.472;-0.386;0.927869448
11333;39.462;-0.343;0.020542377
2726;39.46;-0.391;0.192503085
818;39.475;-0.37;0.016548345
342;39.471;-0.376;0.34247365
8761;39.493;-0.378;0.224105368
7922;39.445;-0.392;0.890687539
5008;39.477;-0.329;0.072526861
7664;39.456;-0.391;0.508927076
11671;39.466;-0.354;0.678674031
10597;39.466;-0.339;0.966290909
3576;39.47;-0.389;0.568837536
8170;39.472;-0.397;0.346797891
4889;39.473;-0.357;0.392958719
7048;39.477;-0.402;0.033692896
11425;39.46;-0.353;0.004566593
13193;39.481;-0.417;0.880468113
2698;39.467;-0.38;0.817652354
10373;39.47;-0.351;0.978655037
7150;39.488;-0.391;0.715965498
5277;39.463;-0.334;0.374019534
5811;39.453;-0.368;0.394537607
8740;39.493;-0.377;0.046743575
6419;39.472;-0.409;0.680212191
6886;39.482;-0.404;0.041463691
1501;39.465;-0.371;0.460626705
11971;39.491;-0.385;0.380971194
7944;39.444;-0.393;0.576170463
11826;39.452;-0.335;0.827738205
8113;39.467;-0.392;0.287740649
7472;39.45;-0.391;0.245486641
13372;39.474;-0.412;0.694450314
2001;39.453;-0.375;0.975259201
10449;39.465;-0.341;0.108688867
1405;39.469;-0.365;0.277221255
8975;39.496;-0.376;0.632672192
477;39.469;-0.373;0.413271173
7958;39.444;-0.389;0.780976127
10614;39.464;-0.347;0.7127641
10848;39.468;-0.339;0.384679183
11198;39.461;-0.343;0.490428111
5631;39.449;-0.369;0.730461932
12181;39.493;-0.393;0.424600522
12834;39.505;-0.423;0.772675073
9524;39.488;-0.362;0.088799238
10804;39.474;-0.344;0.934385544
8080;39.466;-0.392;0.08275093
2713;39.46;-0.385;0.634919292
6151;39.47;-0.385;0.919725663
7696;39.453;-0.386;0.992336886
2674;39.466;-0.382;0.75942679
3464;39.472;-0.392;0.539545735
5854;39.453;-0.37;0.939429407
1532;39.465;-0.372;0.160458202
12150;39.491;-0.39;0.784673041
11479;39.466;-0.355;0.129627249
4299;39.488;-0.379;0.044611102
9254;39.483;-0.349;0.285931181
327;39.47;-0.376;0.248647481
6132;39.461;-0.399;0.438910646
9940;39.469;-0.355;0.593208921
85;39.471;-0.379;0.837203602
3059;39.469;-0.382;0.784713608
2431;39.456;-0.366;0.840171379
3399;39.468;-0.39;0.84501202
9907;39.472;-0.358;0.652268197
8723;39.492;-0.361;0.094015776
12863;39.478;-0.42;0.967954296
13222;39.48;-0.423;0.931160276
12530;39.452;-0.379;0.590608222
3992;39.483;-0.383;0.099347966
11772;39.461;-0.336;0.184017436
12844;39.478;-0.42;0.729779163
11580;39.46;-0.353;0.568285276
12901;39.477;-0.415;0.892861046
7120;39.488;-0.39;0.931388009
